2018-01-19 20:11:22:243	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:244	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:246	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:247	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:249	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:250	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:251	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:333	00 00 00 16 00 f1 fe 33 00 00 00 00 00 00 00 
2018-01-19 20:11:22:335	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:336	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:338	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:339	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:341	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:343	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:344	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:346	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:347	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:349	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:350	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:351	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:433	00 00 00 17 00 f1 fe 97 00 00 00 00 00 00 00 
2018-01-19 20:11:22:435	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:436	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:438	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:439	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:441	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:443	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:444	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:446	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:447	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:449	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
